RK,Team,Conf,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFGD_O,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB
92,Loyola Chicago,A10,27,105.9186,97.628,.720092,52.778,46.323,18.9292,16.9185,25.8287,24.825,33169,36.7280,52.788,43.24,35.2105,34.4221,4185,36.9163,68.9115,-1.375
93,Appalachian St.,SB,29,107.1163,98.637,.719393,52.778,45.26,15.261,14.9307,29.7146,27.2102,32.1192,19.82,53.662,43.87,33.8183,31.969,31.9301,3347,67.4208,0.161
94,USC,P12,28,110.1108,101.682,.716994,51.2153,50.1154,17.8221,18.969,29.9134,33326,33.7151,31.4142,50.6163,47.151,34.8126,36.6334,36.6198,38.7239,69113,-6.3155
95,UCLA,P12,27,107.0164,99.044,.711495,45.8334,50151,16.4130,18.495,30.8111,27.2102,36.295,35.3248,45.2340,49.1119,31.6288,34.2208,29.3337,42.8333,63.8347,-4117
96,Indiana,B10,28,110.899,102.4102,.711396,52.495,49.2105,17.1172,14.5318,27.1243,30223,40.419,32.6177,54.242,47.357,31.8276,34.7236,28.3347,40.6290,68.7128,-1.376
97,Charlotte,Amer,26,110.995,102.5104,.711197,51.4142,47.954,15.470,15.4289,25.9283,29.5195,35120,30.5123,53.662,49117,31.8276,30.725,37.2185,36.8157,62.6357,-3.1101
98,Oklahoma St.,B12,28,111.094,102.7110,.709298,52.1109,50.9198,18.5270,17.1168,27.7225,27.6114,34.6131,2868,52.594,51.4226,34.4147,33.1128,43.342,32.133,67.4210,-5.5141
99,South Florida,Amer,26,109.7111,101.991,.702099,51.3147,47.240,15.997,18.778,28.5197,30.9267,38.445,33.6209,49.2225,47.973,36.258,30.828,41.567,37.8206,68.1166,0.652
100,Duquesne,A10,27,106.9165,99.448,.6978100,49.9207,48.471,17.3188,19.353,29.9134,31.3282,34.4135,35.5252,49.7202,48.387,33.4201,32.494,40.1105,35.7116,67.2222,-3.5106
101,George Mason,A10,27,111.391,103.7124,.6935101,52.591,48.264,18.1242,15.7271,32.275,28129,38.250,31.3137,52.3102,44.510,35.399,35.6291,37.7169,41.7312,64.5333,-3100
102,Boston College,ACC,28,113.461,105.7163,.6915102,53.258,51.5239,15.366,16.7202,26.2272,26.778,27.3324,29.184,52.3102,50.4176,36.451,35.6291,37.2185,37.2183,68.1164,-3.4104
103,Saint Joseph's,A10,28,112.081,104.5138,.6887103,53.452,49.4118,16.1109,18116,29.2164,29.5195,29.7275,30.1111,52.2108,47.558,36.451,34.5228,47.910,44.9351,68.7135,-3.8112
104,Stanford,P12,28,111.487,104.3136,.6811104,54.830,52262,18.1242,15.1302,22.7342,26.988,27.2326,2624,53.565,50.9200,37.817,35.8301,41.182,37.2183,7068,-6.3156
105,College of Charleston,CAA,29,113.858,106.9187,.6727105,52.2105,50.7187,14.323,16.4225,33.548,26.988,27.5321,28.979,52.788,50.9200,34.4147,33.5152,47.413,36.4142,70.946,-1.886
106,UC San Diego,BW,27,112.180,105.3153,.6725106,51.9123,49.8140,14.115,17.6133,27250,28.4146,31.7215,29.491,52.594,49.9153,34172,33.1128,42.254,35.4107,65.7296,-5131
107,California,P12,29,110.3107,103.7125,.6700107,49.8211,50.9198,16102,14.5318,29.1169,25.648,30260,32.6177,48.7248,49.6142,34.3151,35.5284,41.862,35.8119,68.6140,-5.6143
108,Vermont,AE,27,106.5171,100.154,.6692108,52.3101,47.138,13.78,14.5318,22.5347,22.84,27.8311,24.716,54.242,46.338,33.3203,32.494,44.729,36.2131,63.7349,-1.170
109,Southern Illinois,MVC,29,109.4115,102.9114,.6676109,5364,49.7132,17.2178,16.6213,26281,25.648,35.9102,36.2266,54.340,52252,34.3151,29.710,43.637,30.519,64.6332,-4.2119
110,Michigan,B10,29,112.476,105.9167,.6632110,52.1109,52262,18.4268,13.4345,30.9109,31.4288,31.8209,28.674,50.2181,51.2217,36.738,35.9305,38157,32.638,67.6200,-7.3176
111,Davidson,A10,26,106.2179,100.360,.6600111,49.2242,49.8140,15.894,17.2161,26.4265,25.648,34.1143,31.5148,50.8155,50.1160,31.3303,33123,41.472,42.6329,65.7294,-5.1133
112,Akron,MAC,26,107.3158,101.379,.6599112,52.3101,48.992,16.9160,17.3154,29.8138,25.648,34147,29.184,54.439,50.4176,32.9222,30.828,41.376,36.8157,65.6297,-2.797
113,Northern Iowa,MVC,29,109.0121,103.0116,.6587113,52.2105,52.1269,15.787,16.8194,23.9316,22.61,36.585,31.2136,52.788,52.2261,34.2160,34.7236,37.1189,40.8291,66.7249,-4.8127
114,Cornell,Ivy,24,113.065,106.8185,.6584114,56.810,51.2219,17.7214,19.162,27.5231,31.7296,30.1256,32.5174,62.11,52.3265,34172,33.2134,48.28,42.4327,72.120,-0.164
115,Hofstra,CAA,29,109.2118,103.3120,.6546115,55.717,48.778,16102,17.5141,23.5329,29.7205,21.3362,29.9103,5617,46.844,36.933,34.2208,46.420,42.1317,66280,-4.7124
116,Troy,SB,27,107.8152,102.196,.6530116,49.8211,49.4118,19.2305,20.532,35.126,30.6254,40.617,39.1310,48268,47.151,35.1111,35.9305,40.2102,34.268,7065,-5.1136
117,Belmont,MVC,29,110.898,105.3154,.6423117,5525,52.8296,16.9160,16.7202,21.8350,27.197,30.3251,2740,54.340,53.8318,37.425,34.3213,41.567,40.1275,71.133,-4116
118,Western Carolina,SC,27,108.3132,103.0115,.6420118,51.3147,47.138,14.736,13.6342,29171,24.520,28.2303,32.9190,49.7202,45.521,36.161,33.7170,35.5227,30.519,67.5204,-4.2120
119,High Point,BSth,28,116.035,110.3260,.6409119,52.778,50.5179,16102,13.6342,36.615,23.815,45.55,38.1296,53.950,50156,33.8183,34.4221,39134,31.832,69110,-1.988
120,Arkansas,SEC,28,108.8127,103.8129,.6318120,49.6221,49.6125,16.2114,15.2299,26.1278,30223,464,38.6305,50.4170,48.7100,32263,34.1201,33.4280,34.987,70.649,-3.7110
121,UNC Wilmington,CAA,26,113.954,108.7224,.6305121,51.4142,51.7249,12.73,16.3233,29.8138,29.4189,32.1192,32.2167,52.594,50.6184,33.2208,35.8301,40.1105,36.7150,65.3309,-3.5105
122,Arizona St.,P12,29,104.6207,99.953,.6304122,47.8281,51207,14.736,19.162,21.5353,30.2233,32.8178,30107,48.7248,52.6277,30.9310,32.389,38157,38.5235,69.587,-3.7111
123,Liberty,CUSA,25,110.6103,106.4176,.6083123,54.237,50.5179,1555,16.8194,25.1296,25.236,25.7345,30.6125,54.830,51.7235,35.874,3273,46.321,33.250,65320,-5.3139
124,West Virginia,B12,28,108.0147,104.1132,.6060124,48.4262,50.8193,18.1242,15.3294,27250,30.1229,37.173,2868,46.7307,50.6184,34.2160,34.1201,37.5173,42.2322,68.7127,-7.1172
125,UNC Greensboro,SC,28,110.4104,106.5181,.6030125,53.549,49.3113,15.997,17.3154,28.6192,29.6200,27.7315,35.9260,49.1230,48.387,39.46,33.7170,43.736,44.7349,65.1319,-3.4103
126,Youngstown St.,Horz,27,108.7130,104.9144,.6007126,50.5181,48.882,15.470,16.7202,34.236,28.5151,29.5280,30.2116,51.6132,47.973,32.6235,33.6161,41.958,36125,69.393,-4.6123
127,Drexel,CAA,29,108.3134,104.5139,.5999127,50.4188,47.445,16.8155,13.2350,33.941,24.622,30260,27.551,50.4170,47.558,33.5196,31.551,33286,36.1127,64.8329,-5.2137
128,Oakland,Horz,30,109.0123,105.2151,.5989128,52.1109,50.9198,16.5141,16.4225,30.7114,28.7162,30260,26.531,51.8121,50.7191,35115,34190,4185,41.2299,67.4209,-4118
129,Notre Dame,ACC,28,101.3266,97.930,.5969129,47.4293,47.849,19.6320,16250,29171,25.857,26.5336,26.837,48268,46.440,31305,33.5152,43.835,35.8119,64.4336,-6.9166
130,Santa Clara,WCC,29,108.7129,105.2149,.5943130,52.495,48.366,18.1242,14.3328,34.332,26.575,30.1256,34.2220,52.594,48.7100,34.8126,31.864,39.3126,36.9163,68.8126,-3.6109
131,Murray St.,MVC,29,109.1119,105.7162,.5923131,50.9161,54.1339,14.530,17.9121,26.2272,25.960,29.8270,26.938,52.3102,53.5314,32.1260,36.7336,35.5227,42.8333,65322,-10.6260
132,Missouri,SEC,28,109.0124,105.6160,.5891132,50.5181,50.9198,16.6147,18.778,26.2272,35.3355,30.7243,40.7327,51.8121,50.6184,32.4245,34.2208,40.1105,39.1252,66.8242,-8.8212
133,Seattle,WAC,28,104.2217,101.075,.5871133,50.5181,4615,18.6276,17.6133,29.6149,25.857,36.198,38.2299,50186,46.743,34.1167,29.710,38.3149,34.268,67.2218,-5.9150
134,UAB,Amer,27,110.6102,107.3195,.5869134,48.8252,51.4228,17.3188,16.5221,35.422,30.5246,40.220,30.7128,49.5212,50.4176,31.6288,35.4279,31.3311,36.1127,68172,-2.798
135,Morehead St.,OVC,26,108.2136,105.0147,.5865135,54.139,4615,19299,15.2299,32.473,26.988,31.5222,34.2220,5617,45.521,34.4147,31.450,44.729,31.122,64.8330,-3.4102
136,Louisiana Lafayette,SB,28,107.2161,104.1133,.5846136,50.9161,50.1154,17.2178,20.532,31.591,32.6319,28.9292,41.9335,51.6132,53.9321,33.2208,281,36.2207,32.133,68.7134,-7.2175
